trans_id,day,time,bar,drinker,tip,total
58,1,"165441","Romano's Macaroni Grill","Kenna Garza",4.18,69.62
59,2,"172958","Kesler Sports Bar & Grill","Kenna Garza",2.68,17.88
60,7,"141227","Jekyll & Hydes","Kenna Garza",9.6,106.64
61,1,"195014","Kainoa's Sports Bar & Restrnt","Scarlet Villarreal",11.49,104.47
62,5,"144606","Big Shots Sports Bar & Grill","Scarlet Villarreal",23.68,169.11
63,3,"204203","Kainoa's Sports Bar & Restrnt","Scarlet Villarreal",1.85,20.58
64,4,"200811","Bahama Breeze","Scarlet Villarreal",8.77,87.74
65,6,"171536","Big Shots Sports Bar & Grill","Scarlet Villarreal",6.46,58.71
66,7,"145007","Wellhead Restaurant-Brew Pub","Baylee Lawrence",5.68,51.64
67,4,"152352","Wellhead Restaurant-Brew Pub","Baylee Lawrence",3.2,53.4
68,1,"175220","Wellhead Restaurant-Brew Pub","Baylee Lawrence",15.38,102.53
69,7,"213959","Gold Hawk","Baylee Lawrence",3.21,29.18
70,4,"184952","Ruby Tuesday","Baylee Lawrence",5.22,52.18
71,3,"204024","Hurricane Alley","Kaylynn Small",1.5,37.48
72,1,"094426","Denny's","Kaylynn Small",7.14,102.02
73,3,"183231","Tryst Lounge","Kaylynn Small",0.53,7.53
74,2,"152229","Bob Evans Restaurants","Kaylynn Small",0.89,14.81
75,4,"094655","Denny's","Kaylynn Small",3.58,59.74
76,7,"224306","Kroc's","Aron Richards",1.89,31.46
77,6,"001502","Border Lounge","Aron Richards",11.15,85.75
78,3,"203703","Kroc's","Aron Richards",3.01,60.24
79,6,"125142","Scooters","Aron Richards",6.02,75.27
80,7,"231624","Kroc's","Aron Richards",10.09,67.25
81,5,"114603","Paradise City","Aylin Gutierrez",1.44,23.97
82,6,"140924","Paradise City","Aylin Gutierrez",0.0,21.29
83,7,"181006","Red Lobster","Aylin Gutierrez",9.21,102.37
84,7,"140759","Paradise City","Aylin Gutierrez",0.22,7.44
85,2,"144419","Paradise City","Aylin Gutierrez",0.48,48.06
86,3,"142136","Downtown Lounge","Monique Branch",11.46,104.15
87,4,"165236","Basement","Monique Branch",7.44,92.95
88,4,"122903","Downtown Lounge","Monique Branch",0.0,14.87
89,7,"192955","Basement","Monique Branch",14.16,117.98
90,5,"013944","Applebee's","Monique Branch",7.88,87.5
91,7,"024332","The Cheesecake Factory","Brian Leon",1.67,41.76
92,5,"004159","The Cheesecake Factory","Brian Leon",0.64,12.79
93,6,"171300","Milo's Sports Tavern","Brian Leon",5.15,51.51
94,3,"131800","Milo's Sports Tavern","Brian Leon",14.02,116.81
95,7,"192052","The Cheesecake Factory","Brian Leon",7.47,74.72
96,4,"192659","Scores","Mara Cervantes",7.15,119.14
97,1,"103648","C C Slaughters Restaurant","Mara Cervantes",0.0,76.06
98,3,"144650","Hard Rock Cafe","Mara Cervantes",1.81,18.1
99,5,"201714","New West","Mara Cervantes",2.66,66.4
100,5,"012915","Applebee's","Mara Cervantes",4.74,158.16
101,2,"183441","Black-eyed Pea","Hadassah Marsh",0.58,29.11
102,1,"181337","Cheddar's Casual Café","Hadassah Marsh",1.92,16.0
103,5,"192704","Black-eyed Pea","Hadassah Marsh",1.07,106.98
104,5,"202354","Black-eyed Pea","Hadassah Marsh",0.7,70.21
105,7,"151126","Cheddar's Casual Café","Hadassah Marsh",6.44,91.98
106,4,"225317","Big Al's","Lukas Stanton",0.3,30.25
107,6,"003649","On the Border Mexican Grill & Cantina","Lukas Stanton",3.22,46.04
108,6,"204824","Chipotle Mexican Grill","Lukas Stanton",0.3,30.22
109,6,"141753","Big Al's","Lukas Stanton",1.77,11.81
110,4,"100809","IHOP","Lukas Stanton",4.41,146.94
111,4,"153056","Black-eyed Pea","Kamari Vargas",1.28,25.57
112,7,"184256","Linda's","Kamari Vargas",14.0,107.73
113,5,"173023","Black-eyed Pea","Kamari Vargas",0.0,29.44
114,5,"184516","Station","Kamari Vargas",6.59,109.88
115,3,"010915","Sinners Gentlemen's Club","Kamari Vargas",0.95,13.54
116,5,"202551","Tryst Lounge","Keyon Powers",2.18,15.56
117,7,"003618","The Cheesecake Factory","Keyon Powers",2.85,57.06
118,1,"005400","Firefly Club","Keyon Powers",0.42,10.44
119,2,"184537","Big Shots Sports Bar & Grill","Keyon Powers",1.16,115.5
120,1,"233213","The Cheesecake Factory","Keyon Powers",3.1,61.93
121,7,"102858","Planet Hollywood","Molly Ponce",2.62,52.4
122,1,"112118","Met Lounge","Molly Ponce",9.28,103.12
123,3,"204444","Station","Molly Ponce",5.46,109.29
124,2,"185235","Station","Molly Ponce",10.47,87.29
125,3,"114344","Met Lounge","Molly Ponce",4.34,48.24
126,1,"231613","Mugshots Bar","Valentino Baldwin",0.47,15.74
127,5,"164610","Johnny Mac's Scoreboard","Valentino Baldwin",0.79,79.12
128,1,"195348","Chipotle Mexican Grill","Valentino Baldwin",0.31,31.18
129,6,"224654","Chipotle Mexican Grill","Valentino Baldwin",6.19,47.65
130,2,"203139","Johnny Mac's Scoreboard","Valentino Baldwin",11.08,73.88
131,2,"181648","Saturn","Jameson Best",6.58,82.27
132,1,"193112","Bob Evans Restaurants","Jameson Best",2.09,26.09
133,4,"083910","Mulligan's Pub","Jameson Best",7.2,71.98
134,5,"145438","Jovan's Lounge Ltd","Jameson Best",0.0,42.78
135,1,"223734","Saturn","Jameson Best",12.98,86.53
136,6,"112552","Swamp Sports Bar & Restaurant","Toby Combs",8.36,59.73
137,4,"211929","Tradesman Tavern Inc","Toby Combs",9.02,81.96
138,5,"003040","Tradesman Tavern Inc","Toby Combs",5.83,116.68
139,6,"145236","Swamp Sports Bar & Restaurant","Toby Combs",3.24,29.47
140,5,"141221","Dejavu Nightclub","Toby Combs",9.01,90.06
141,1,"230855","Improper Bostonian","Charlotte Garrett",0.41,13.8
142,5,"130617","Moms Toy Box","Charlotte Garrett",1.66,12.79
143,6,"191556","Moms Toy Box","Charlotte Garrett",4.27,38.8
144,6,"181710","Improper Bostonian","Charlotte Garrett",0.0,66.27
145,1,"012919","Improper Bostonian","Charlotte Garrett",6.72,74.69
146,7,"065458","Apple Inn","Darion Stevens",5.81,96.91
147,6,"192626","Crowe Bar","Darion Stevens",15.07,107.64
148,4,"201436","Quaker Steak & Lube","Darion Stevens",1.62,40.56
149,3,"111737","Apple Inn","Darion Stevens",0.06,3.16
150,3,"233220","Ad Card Promotions","Darion Stevens",12.96,108.0
151,7,"162614","Crystal Corner Bar","Brennan Whitney",2.0,39.95
152,5,"231428","E Robert Brame","Brennan Whitney",2.82,40.25
153,2,"154511","Double Down Saloon","Brennan Whitney",8.86,63.27
154,5,"144936","E Robert Brame","Brennan Whitney",1.47,12.29
155,3,"165542","Rascal's","Brennan Whitney",7.93,99.12
156,3,"151215","Smitty's Sports Pub","Ralph Mathews",1.51,13.75
157,5,"193512","Smitty's Sports Pub","Ralph Mathews",17.4,115.99
158,3,"193112","Smitty's Sports Pub","Ralph Mathews",9.28,115.99
159,5,"143903","Champions Sports Bar","Ralph Mathews",1.41,140.68
160,5,"121232","Heart Attack Grill","Ralph Mathews",11.37,142.09
161,6,"191253","California Pizza Kitchen","Milagros Davidson",7.35,122.43
162,4,"132554","Boston Pizza","Milagros Davidson",2.15,71.68
163,1,"001049","Sinners Gentlemen's Club","Milagros Davidson",1.03,25.66
164,3,"141207","Milo's Sports Tavern","Milagros Davidson",17.52,116.81
165,6,"091246","T.G.I. Friday's","Milagros Davidson",1.22,17.43
166,3,"234730","On the Border Mexican Grill & Cantina","Carina Pham",0.81,20.22
167,7,"113523","Cracker Barrel Old Country Store","Carina Pham",2.3,20.89
168,2,"111633","Cracker Barrel Old Country Store","Carina Pham",0.0,46.62
169,7,"191823","Basement","Carina Pham",7.04,54.15
170,1,"193313","Arena","Carina Pham",2.98,99.39
171,2,"115129","J D Bar Corp","Luis Hunt",1.81,12.09
172,4,"063656","Apple Inn","Luis Hunt",5.12,73.11
173,4,"215216","J R's Last Laugh Comedy Club","Luis Hunt",0.84,42.08
174,7,"202020","Smitty's Sports Pub","Luis Hunt",0.13,12.72
175,5,"184709","Spot On The Alley","Luis Hunt",3.32,30.14
176,3,"140525","Texas Roadhouse","Kyla Baird",6.4,42.64
177,6,"143453","Bluepoint Sage Cafe","Kyla Baird",0.0,58.08
178,3,"210818","Golden Corral","Kyla Baird",1.19,119.2
179,2,"191728","Golden Corral","Kyla Baird",3.77,53.87
180,7,"185152","Golden Corral","Kyla Baird",2.68,22.36
181,2,"173547","Olive Garden","Alonzo Vasquez",3.49,26.87
182,2,"121750","Double Down Saloon","Alonzo Vasquez",6.33,63.27
183,5,"232100","Rainforest Cafe","Alonzo Vasquez",8.79,125.58
184,5,"224515","Lone Star Athletic Football Club","Alonzo Vasquez",1.5,21.43
185,6,"202913","Rainforest Cafe","Alonzo Vasquez",2.17,108.56
186,3,"213428","Lone Star Steakhouse & Saloon","Ahmed Castillo",3.32,27.63
187,2,"201141","The Old Spaghetti Factory","Ahmed Castillo",8.86,126.58
188,1,"180851","The Old Spaghetti Factory","Ahmed Castillo",1.87,62.41
189,5,"175118","Bennigan's","Ahmed Castillo",1.34,14.88
190,5,"081850","Lone Star Steakhouse & Saloon","Ahmed Castillo",0.3,29.87
191,3,"211758","The Old Spaghetti Factory","Aniya Rangel",0.24,24.5
192,1,"145047","Dick's Last Resort","Aniya Rangel",11.1,92.46
193,3,"223327","Dick's Last Resort","Aniya Rangel",7.72,55.12
194,4,"011644","Dick's Last Resort","Aniya Rangel",1.92,21.35
195,4,"112145","Bennigan's","Aniya Rangel",2.05,15.77
196,4,"214721","Swamp Sports Bar & Restaurant","Micaela Crane",0.42,4.23
197,5,"004933","Border Lounge","Micaela Crane",0.29,29.31
198,3,"231546","Border Lounge","Micaela Crane",2.85,25.89
199,6,"012519","Border Lounge","Micaela Crane",3.86,48.3
200,2,"225318","Twin Peeks","Micaela Crane",1.15,12.79
201,6,"135253","Dick's Last Resort","Maliyah Good",2.28,75.99
202,6,"172146","Cork Town Tavern","Maliyah Good",0.34,11.4
203,7,"143043","Dick's Last Resort","Maliyah Good",12.21,87.18
204,6,"002929","Dick's Last Resort","Maliyah Good",15.72,112.26
205,3,"125253","Cork Town Tavern","Maliyah Good",0.0,90.06
206,1,"142145","Barrister S Euro Tavern;","Ashlynn Diaz",0.21,6.98
207,7,"072120","Pei Wei Asian Diner","Ashlynn Diaz",0.77,12.79
208,1,"114722","Pei Wei Asian Diner","Ashlynn Diaz",6.03,67.02
209,7,"165414","Pei Wei Asian Diner","Ashlynn Diaz",2.94,48.95
210,7,"150954","Barrister S Euro Tavern;","Ashlynn Diaz",0.0,19.81
211,5,"211807","Tryst Lounge","Paityn Jenkins",0.0,42.39
212,3,"011113","Tryst Lounge","Paityn Jenkins",0.0,34.81
213,4,"144903","Rocket","Paityn Jenkins",0.66,9.43
214,2,"224847","New York Dolls","Paityn Jenkins",2.24,18.67
215,7,"133232","Rocket","Paityn Jenkins",0.0,35.55
216,2,"223831","Firefly Club","Ramon Schmitt",2.52,62.98
217,5,"023458","Joe's Crab Shack","Ramon Schmitt",4.57,41.58
218,2,"163832","Town & Country","Ramon Schmitt",2.1,105.17
219,2,"184541","Town & Country","Ramon Schmitt",0.0,10.31
220,1,"092313","Sizzler","Ramon Schmitt",0.51,51.48
221,6,"171442","Johnny Rockets","Wendy Shepherd",3.14,62.81
222,2,"132131","Sizzler","Wendy Shepherd",1.37,45.81
223,7,"211605","Big Shots Sports Bar & Grill","Wendy Shepherd",4.58,114.46
224,7,"180629","Sizzler","Wendy Shepherd",4.58,45.81
225,6,"205204","Met Lounge","Wendy Shepherd",5.02,71.75
226,7,"175051","Off Broadway","Curtis Richardson",18.4,122.66
227,5,"194742","Off Broadway","Curtis Richardson",0.64,21.35
228,4,"014227","Off Broadway","Curtis Richardson",4.05,50.66
229,5,"180829","Off Broadway","Curtis Richardson",1.4,70.03
230,4,"154151","Round-Up Saloon","Curtis Richardson",4.16,46.17
231,7,"211901","Shanahan's Lafayette","Victoria Roman",2.13,106.51
232,2,"222630","D & J Web Solutions","Victoria Roman",0.75,37.57
233,7,"073154","Johnny Mac's Scoreboard","Victoria Roman",0.0,73.65
234,1,"090737","Wolfs Tavern","Victoria Roman",12.22,87.28
235,5,"103600","Wolfs Tavern","Victoria Roman",4.34,72.32
236,1,"092911","Sizzler","Levi Walsh",0.97,7.44
237,6,"163916","Sizzler","Levi Walsh",0.64,16.0
238,2,"143503","C C Slaughters Restaurant","Levi Walsh",2.26,18.8
239,4,"201522","Dick's Last Resort","Levi Walsh",1.39,34.73
240,4,"143038","Sizzler","Levi Walsh",5.56,61.8
241,4,"172701","California Pizza Kitchen","Regan Taylor",26.23,201.8
242,5,"191346","Kainoa's Sports Bar & Restrnt","Regan Taylor",0.13,3.16
243,4,"205315","Tryst Lounge","Regan Taylor",1.59,14.41
244,4,"013131","Tryst Lounge","Regan Taylor",0.03,3.28
245,2,"222444","The Cheesecake Factory","Regan Taylor",11.1,79.28
246,2,"214431","Ivar's Sports Bar & Grill","Tianna Schmidt",4.73,47.34
247,4,"211217","Dillinger's Inc","Tianna Schmidt",8.32,83.15
248,6,"104427","Dolphin Inn","Tianna Schmidt",13.63,123.95
249,2,"202109","Dillinger's Inc","Tianna Schmidt",12.73,115.77
250,6,"133308","Ivar's Sports Bar & Grill","Tianna Schmidt",2.12,17.7
251,3,"061218","Chris Cocallas","Michelle Snyder",3.17,24.41
252,6,"124421","Double Down Saloon","Michelle Snyder",1.5,37.59
253,2,"111520","Chris Cocallas","Michelle Snyder",6.73,67.25
254,2,"134251","Atomic Cantina","Michelle Snyder",0.16,2.02
255,7,"131137","Chris Cocallas","Michelle Snyder",2.3,23.02
256,2,"163912","Champions Sports Bar","Bailey Hanson",14.9,106.45
257,3,"184441","Daddy's","Bailey Hanson",2.13,21.3
258,7,"170841","Johnny Rockets","Bailey Hanson",1.38,46.1
259,4,"224210","Champions Sports Bar","Bailey Hanson",0.0,137.05
260,7,"202425","Red Lobster","Bailey Hanson",8.73,79.36
261,3,"144505","Romano's Macaroni Grill","Brendon Silva",6.08,86.88
262,7,"162552","Champions Sports Bar","Brendon Silva",11.34,75.6
263,6,"124218","T.G.I. Friday's","Brendon Silva",0.0,6.42
264,1,"130952","Romano's Macaroni Grill","Brendon Silva",0.0,32.75
265,1,"150811","C C Slaughters Restaurant","Brendon Silva",0.0,113.88
266,3,"103744","Downtown Lounge","Tommy Schroeder",2.47,27.47
267,2,"214144","Sinners Gentlemen's Club","Tommy Schroeder",4.84,37.25
268,1,"211326","Dixie Taverne","Tommy Schroeder",1.52,38.06
269,4,"235313","Sinners Gentlemen's Club","Tommy Schroeder",1.6,12.29
270,7,"005355","Dixie Taverne","Tommy Schroeder",0.65,21.77
271,2,"182916","YUMIS SUSHI BAR","Skyler Wall",19.49,149.95
272,1,"134521","Cheddar's Casual Café","Skyler Wall",0.0,56.44
273,3,"181422","YUMIS SUSHI BAR","Skyler Wall",6.87,171.81
274,4,"162835","Wellhead Restaurant-Brew Pub","Skyler Wall",13.27,102.1
275,7,"144709","Wellhead Restaurant-Brew Pub","Skyler Wall",3.13,24.08
276,4,"173947","Jungle Restaurant-Fat Cat's","Myah Walters",3.17,39.66
277,4,"202250","Jungle Restaurant-Fat Cat's","Myah Walters",2.01,22.37
278,7,"175552","Atomic Cantina","Myah Walters",5.36,53.56
279,1,"201452","Arlene's","Myah Walters",6.95,46.36
280,5,"121457","Atomic Cantina","Myah Walters",3.08,76.89
281,7,"191718","Johnny Rockets","Vance Merritt",3.18,106.04
282,2,"151836","Johnny Rockets","Vance Merritt",1.21,121.35
283,6,"181125","Jungle Restaurant-Fat Cat's","Vance Merritt",2.97,74.31
284,2,"141919","Hoss's Steak and Sea House","Vance Merritt",0.14,4.53
285,7,"183853","Johnny Rockets","Vance Merritt",0.96,6.37
286,3,"223547","Pivots Beach Club","Darryl Rosario",6.95,99.29
287,2,"210625","Pivots Beach Club","Darryl Rosario",4.35,43.48
288,1,"145259","Dillinger's Inc","Darryl Rosario",1.97,16.45
289,7,"213020","Vault Night Club","Darryl Rosario",0.74,7.44
290,4,"010525","Dillinger's Inc","Darryl Rosario",1.29,42.91
291,6,"212447","Toc Bar","Melissa Davenport",19.07,190.68
292,7,"132256","Pivots Beach Club","Melissa Davenport",4.74,43.07
293,2,"135229","Club Paragon","Melissa Davenport",9.77,69.77
294,7,"220728","Pivots Beach Club","Melissa Davenport",3.75,46.92
295,3,"121710","Club Paragon","Melissa Davenport",7.02,70.17
296,2,"113720","Bluepoint Sage Cafe","Kyra Shannon",3.36,83.9
297,5,"095347","Bubba Gump Shrimp Company","Kyra Shannon",2.11,15.04
298,5,"065401","Bubba Gump Shrimp Company","Kyra Shannon",5.47,42.04
299,6,"222000","Hard Rock Cafe","Kyra Shannon",0.75,14.93
300,3,"121056","Bubba Gump Shrimp Company","Kyra Shannon",0.43,42.53
301,5,"151532","For Pete's Sake","Hayden Hardy",0.97,19.43
302,3,"144040","Stingers Sports Pub & Grill","Hayden Hardy",2.7,29.97
303,5,"111846","Round-Up Saloon","Hayden Hardy",0.88,88.09
304,4,"141629","For Pete's Sake","Hayden Hardy",6.69,133.85
305,2,"182417","Outback Steakhouse","Hayden Hardy",2.26,22.59
306,2,"142145","Olive Garden","Pamela Hobbs",2.54,36.27
307,4,"223737","LongHorn Steakhouse","Pamela Hobbs",1.53,11.79
308,5,"143005","Daddy-O's","Pamela Hobbs",10.11,84.25
309,7,"214151","Quaker Steak & Lube","Pamela Hobbs",4.66,51.75
310,5,"214024","LongHorn Steakhouse","Pamela Hobbs",5.41,38.63
311,5,"212245","P. F. Chang's China Bistro","Haylie Munoz",3.0,33.38
312,7,"220516","Comedy Cellar","Haylie Munoz",1.08,13.48
313,4,"132236","Sportsman","Haylie Munoz",1.64,54.68
314,5,"184731","P. F. Chang's China Bistro","Haylie Munoz",6.08,76.0
315,4,"074713","Grey Lounge","Haylie Munoz",8.63,71.94
316,5,"153629","YUMIS SUSHI BAR","Madalynn Flores",5.38,179.41
317,1,"212422","Jungle Restaurant-Fat Cat's","Madalynn Flores",0.7,5.42
318,2,"001644","Saturn","Madalynn Flores",15.73,142.99
319,1,"201409","YUMIS SUSHI BAR","Madalynn Flores",1.53,16.99
320,1,"231724","Tweed's Pub Restaurant","Madalynn Flores",0.0,56.9
321,3,"125336","Atomic Cantina","Heaven Miles",5.55,79.23
322,4,"174429","J R's Last Laugh Comedy Club","Heaven Miles",4.33,72.25
323,6,"195453","Moms Toy Box","Heaven Miles",3.76,34.2
324,5,"192120","Wolfs Tavern","Heaven Miles",0.81,13.44
325,4,"013118","D & J Web Solutions","Heaven Miles",22.69,151.26
326,3,"165017","J R's Last Laugh Comedy Club","Alonso Park",7.99,88.81
327,3,"155145","J R's Last Laugh Comedy Club","Alonso Park",2.21,44.28
328,1,"155101","Houlihan's","Alonso Park",2.5,124.77
329,6,"200740","J D Bar Corp","Alonso Park",1.45,72.71
330,7,"085551","T.G.I. Friday's","Alonso Park",11.82,107.5
331,6,"141857","For Pete's Sake","Juliana Johns",10.23,85.26
332,4,"171646","Iron Post","Juliana Johns",0.94,94.17
333,2,"112832","Tony Roma's","Juliana Johns",1.85,20.52
334,7,"231852","Tony Roma's","Juliana Johns",1.05,17.55
335,2,"211930","Topper","Juliana Johns",6.35,90.76
336,3,"110714","Romano's Macaroni Grill","Aubree Wright",14.37,110.52
337,3,"100705","Romano's Macaroni Grill","Aubree Wright",5.32,35.46
338,2,"140804","Ivar's Sports Bar & Grill","Aubree Wright",5.78,64.18
339,6,"165519","Romano's Macaroni Grill","Aubree Wright",1.82,60.71
340,2,"101247","Qdoba Mexican Grill","Aubree Wright",1.31,11.93
341,6,"164728","Ruby Tuesday","Kelsie Coleman",6.45,80.64
342,4,"174549","Ruby Tuesday","Kelsie Coleman",0.97,19.36
343,7,"153652","Romano's Macaroni Grill","Kelsie Coleman",8.89,59.28
344,3,"154305","Ruby Tuesday","Kelsie Coleman",4.55,56.89
345,5,"155520","Ruby Tuesday","Kelsie Coleman",2.07,20.73
346,3,"201732","Swamp Sports Bar & Restaurant","Avah Tucker",1.25,24.96
347,7,"192820","Tweed's Pub Restaurant","Avah Tucker",1.61,80.27
348,1,"154813","Scooters","Avah Tucker",1.34,8.92
349,2,"192546","Swamp Sports Bar & Restaurant","Avah Tucker",0.53,13.24
350,2,"183646","Scooters","Avah Tucker",2.06,41.19
351,2,"212901","Quaker Steak & Lube","Kaitlyn French",0.31,30.72
352,5,"194220","Quaker Steak & Lube","Kaitlyn French",4.49,34.55
353,2,"182016","Quaker Steak & Lube","Kaitlyn French",0.0,107.4
354,1,"212919","Quaker Steak & Lube","Kaitlyn French",1.28,10.65
355,5,"225512","Quaker Steak & Lube","Kaitlyn French",10.79,89.92
356,6,"211747","Monopole Restaurant","Carleigh Gross",2.41,30.1
357,3,"123009","Sportsman","Carleigh Gross",3.03,33.69
358,5,"222019","Sportsman","Carleigh Gross",0.59,29.41
359,6,"194453","Carrabba's Italian Grill","Carleigh Gross",14.07,175.9
360,2,"174123","Carrabba's Italian Grill","Carleigh Gross",2.97,98.92
361,2,"192159","Golden Corral","Renee Francis",11.68,83.41
362,6,"134406","Bubba Gump Shrimp Company","Renee Francis",3.8,37.96
363,3,"221850","Stonebridge Village Poa","Renee Francis",4.01,28.62
364,1,"205204","Stonebridge Village Poa","Renee Francis",0.9,45.19
365,3,"001233","Golden Corral","Renee Francis",0.71,5.49
366,2,"165258","Uno Chicago Grill","Azul Fox",1.62,54.15
367,2,"093959","Sizzler","Azul Fox",4.98,41.47
368,7,"141524","Sizzler","Azul Fox",0.0,5.08
369,3,"102003","C C Slaughters Restaurant","Azul Fox",14.84,98.91
370,1,"162414","Uno Chicago Grill","Azul Fox",0.75,74.69
371,7,"144224","J D Bar Corp","Damian Hayes",0.51,8.51
372,4,"003322","Perkins Restaurant and Bakery","Damian Hayes",2.34,78.1
373,2,"082348","Perkins Restaurant and Bakery","Damian Hayes",10.61,151.54
374,7,"125439","Perkins Restaurant and Bakery","Damian Hayes",10.66,177.71
375,1,"155040","J D Bar Corp","Damian Hayes",14.88,99.19
376,1,"163734","Friendly's","Nikhil Middleton",9.08,100.91
377,2,"080643","Johnny Mac's Scoreboard","Nikhil Middleton",2.56,21.33
378,3,"211753","Johnny Mac's Scoreboard","Nikhil Middleton",0.88,87.69
379,2,"175114","Friendly's","Nikhil Middleton",0.97,48.7
380,3,"102328","Johnny Mac's Scoreboard","Nikhil Middleton",0.73,72.51
381,6,"183828","Crystal Corner Bar","Elliana James",12.02,85.87
382,6,"141659","The Cheesecake Factory","Elliana James",2.3,19.15
383,6,"164851","The Cheesecake Factory","Elliana James",1.53,50.94
384,2,"164811","Met Lounge","Elliana James",6.51,72.29
385,5,"095047","T.G.I. Friday's","Elliana James",2.05,68.37
386,4,"192957","Ivar's Sports Bar & Grill","Adam Montes",7.49,62.4
387,2,"224351","Pub 13","Adam Montes",9.5,135.69
388,4,"005435","Pub 13","Adam Montes",5.24,58.17
389,4,"130517","Gay Nineties Theatre Cafe","Adam Montes",0.7,23.43
390,5,"165037","Gay Nineties Theatre Cafe","Adam Montes",3.95,26.34
391,7,"163109","Double Down Saloon","Kenyon Conway",2.64,52.77
392,1,"123952","Cracker Barrel Old Country Store","Kenyon Conway",0.65,12.96
393,5,"143704","Famous Dave's","Kenyon Conway",8.61,66.22
394,3,"142621","Cracker Barrel Old Country Store","Kenyon Conway",2.17,30.99
395,2,"131134","Famous Dave's","Kenyon Conway",5.69,63.2
396,5,"175317","Bottling CO","Axel Bell",7.15,79.4
397,5,"141637","Bottling CO","Axel Bell",7.41,82.35
398,3,"193732","Bottling CO","Axel Bell",3.37,67.47
399,3,"122628","Bottling CO","Axel Bell",3.43,31.18
400,7,"101336","C C Slaughters Restaurant","Axel Bell",1.84,36.88
