trans_id,day,time,date,bar,drinker,tip,total
56,1,15:05:52,"2017-08-27 15:05:52","Maria C. Estabil","Marisol Duncan",11.56,88.94
57,1,22:15:32,"2016-03-06 22:15:32","Vault Night Club","Marisol Duncan",3.95,30.42
58,1,18:15:22,"2016-05-15 18:15:22","Atkins Park Tavern","Marisol Duncan",6.38,53.14
59,2,14:09:22,"2017-03-06 14:09:22","Grey Lounge","Marisol Duncan",2.12,70.76
60,3,12:27:59,"2016-09-20 12:27:59","Vault Night Club","Marisol Duncan",0.68,68.19
61,1,23:46:20,"2016-05-29 23:46:20","Islands Fine Burgers & Drinks","Helen Fuentes",8.7,62.15
62,5,16:34:49,"2016-03-24 16:34:49","Texas Roadhouse","Helen Fuentes",4.68,52.02
63,6,14:22:26,"2017-11-10 14:22:26","Texas Roadhouse","Helen Fuentes",0.67,67.23
64,6,23:52:29,"2017-06-23 23:52:29","Bob Evans Restaurants","Helen Fuentes",1.02,12.79
65,5,20:38:50,"2016-01-07 20:38:50","Bob Evans Restaurants","Helen Fuentes",5.85,41.77
66,1,17:52:05,"2017-04-09 17:52:05","Texas Roadhouse","Helen Fuentes",2.91,26.48
67,7,00:22:53,"2016-01-09 00:22:53","Qdoba Mexican Grill","Helen Fuentes",2.83,47.25
68,6,15:09:55,"2016-07-22 15:09:55","Pivots Beach Club","Helen Fuentes",1.14,114.48
69,4,22:14:05,"2016-06-08 22:14:05","Scores","Helen Fuentes",9.38,72.19
70,3,12:12:52,"2016-03-22 12:12:52","Pivots Beach Club","Helen Fuentes",15.58,111.27
71,4,12:41:57,"2017-09-06 12:41:57","Bob Evans Restaurants","Helen Fuentes",0.0,136.36
72,5,22:16:33,"2017-03-16 22:16:33","Qdoba Mexican Grill","Helen Fuentes",9.34,71.87
73,1,19:45:15,"2017-02-19 19:45:15","Scores","Helen Fuentes",0.89,12.66
74,4,13:26:04,"2017-04-26 13:26:04","Pivots Beach Club","Helen Fuentes",5.22,74.58
75,6,16:24:47,"2016-07-22 16:24:47","Pivots Beach Club","Helen Fuentes",6.97,87.08
76,1,12:26:04,"2017-10-29 12:26:04","Bob Evans Restaurants","Helen Fuentes",2.16,24.01
77,3,15:07:14,"2017-04-18 15:07:14","Texas Roadhouse","Helen Fuentes",0.59,58.95
78,7,17:53:35,"2016-01-16 17:53:35","Pivots Beach Club","Helen Fuentes",0.36,36.13
79,5,23:30:32,"2017-04-06 23:30:32","Islands Fine Burgers & Drinks","Helen Fuentes",2.21,44.27
80,4,11:22:43,"2017-02-01 11:22:43","Bob Evans Restaurants","Helen Fuentes",12.52,139.13
81,4,14:24:33,"2016-02-24 14:24:33","Black Angus Steakhouse","Madyson Owen",8.89,80.82
82,4,23:08:20,"2016-06-01 23:08:20","Apple Inn","Madyson Owen",0.32,6.37
83,6,13:28:56,"2017-09-01 13:28:56","Jonathan's Restaurant","Madyson Owen",0.39,9.68
84,1,23:12:40,"2016-07-17 23:12:40","Boston Market","Madyson Owen",3.52,117.24
85,3,21:34:38,"2016-09-13 21:34:38","Boston Market","Madyson Owen",2.05,41.07
86,3,23:40:32,"2017-01-31 23:40:32","Apple Inn","Madyson Owen",5.51,36.75
87,6,21:17:39,"2017-05-05 21:17:39","Apple Inn","Madyson Owen",1.18,16.83
88,1,11:05:27,"2017-09-10 11:05:27","Black Angus Steakhouse","Madyson Owen",6.26,56.87
89,7,20:55:01,"2016-02-13 20:55:01","Boston Market","Madyson Owen",1.04,10.42
90,6,17:09:21,"2017-10-20 17:09:21","Black Angus Steakhouse","Madyson Owen",9.81,75.47
91,5,22:38:19,"2017-05-18 22:38:19","Apple Inn","Madyson Owen",8.17,58.34
92,7,22:49:43,"2016-11-05 22:49:43","Boston Market","Madyson Owen",3.26,108.52
93,7,13:29:20,"2016-05-21 13:29:20","Black Angus Steakhouse","Madyson Owen",2.41,60.17
94,7,21:25:54,"2016-03-26 21:25:54","Boston Market","Madyson Owen",0.61,60.52
95,2,13:08:14,"2016-07-04 13:08:14","Jonathan's Restaurant","Madyson Owen",0.22,10.82
96,3,22:44:00,"2017-09-12 22:44:00","Jonathan's Restaurant","Madyson Owen",17.68,126.27
97,4,15:29:55,"2016-11-23 15:29:55","Black Angus Steakhouse","Madyson Owen",0.82,11.72
98,2,11:12:29,"2016-07-04 11:12:29","Black Angus Steakhouse","Madyson Owen",1.22,61.1
99,2,10:25:50,"2016-06-20 10:25:50","Jonathan's Restaurant","Madyson Owen",0.0,72.66
100,1,22:13:06,"2017-01-22 22:13:06","Apple Inn","Madyson Owen",16.12,107.5
101,7,11:31:08,"2017-07-22 11:31:08","Pivots Beach Club","Zayden Salazar",12.05,92.72
102,2,19:25:17,"2017-08-28 19:25:17","Ad Card Promotions","Zayden Salazar",6.53,54.41
103,4,00:44:23,"2017-10-18 00:44:23","Moms Toy Box","Zayden Salazar",6.7,51.55
104,6,13:22:24,"2017-01-27 13:22:24","Pivots Beach Club","Zayden Salazar",7.06,117.64
105,1,21:18:10,"2017-07-09 21:18:10","Moms Toy Box","Zayden Salazar",6.7,74.44
106,5,20:52:30,"2016-05-05 20:52:30","Ad Card Promotions","Zayden Salazar",7.46,74.56
107,1,17:40:25,"2016-04-24 17:40:25","Pivots Beach Club","Zayden Salazar",0.46,45.53
108,1,18:21:38,"2017-08-27 18:21:38","Toc Bar","Zayden Salazar",0.68,22.8
109,5,19:09:43,"2016-05-05 19:09:43","Ad Card Promotions","Zayden Salazar",1.79,59.56
110,6,14:53:58,"2016-11-18 14:53:58","Pivots Beach Club","Zayden Salazar",0.49,24.74
111,4,23:31:44,"2016-06-08 23:31:44","Moms Toy Box","Zayden Salazar",1.55,12.94
112,3,11:47:48,"2017-07-04 11:47:48","Pivots Beach Club","Zayden Salazar",7.06,117.64
113,7,22:50:00,"2016-04-23 22:50:00","Moms Toy Box","Zayden Salazar",3.41,56.86
114,4,14:43:46,"2017-03-08 14:43:46","Pivots Beach Club","Zayden Salazar",1.91,15.94
115,5,21:17:16,"2016-07-21 21:17:16","Moms Toy Box","Zayden Salazar",1.2,30.08
116,4,13:55:04,"2016-06-15 13:55:04","LongHorn Steakhouse","Zayden Salazar",1.27,42.21
117,7,21:30:12,"2016-05-07 21:30:12","Improper Bostonian","Zayden Salazar",1.8,13.87
118,5,16:13:21,"2016-05-19 16:13:21","LongHorn Steakhouse","Zayden Salazar",0.88,9.81
119,5,11:05:43,"2016-08-11 11:05:43","Pivots Beach Club","Zayden Salazar",0.49,49.4
120,1,11:22:10,"2017-06-04 11:22:10","LongHorn Steakhouse","Zayden Salazar",2.05,34.09
121,6,20:46:10,"2017-06-02 20:46:10","Dejavu Nightclub","Claire Hoover",3.92,130.66
122,1,22:43:33,"2017-02-12 22:43:33","Dejavu Nightclub","Claire Hoover",1.8,90.09
123,6,21:28:50,"2017-03-31 21:28:50","Bottling CO","Claire Hoover",0.0,34.67
124,1,19:18:47,"2017-05-07 19:18:47","Jrbc","Claire Hoover",7.7,85.54
125,5,13:51:20,"2017-03-30 13:51:20","Dejavu Nightclub","Claire Hoover",3.41,26.23
126,5,20:52:29,"2016-11-24 20:52:29","Dejavu Nightclub","Claire Hoover",11.09,123.22
127,7,01:22:52,"2017-03-25 01:22:52","Dejavu Nightclub","Claire Hoover",11.99,79.94
128,7,22:14:33,"2016-01-30 22:14:33","Dejavu Nightclub","Claire Hoover",13.17,109.73
129,2,21:15:46,"2016-07-04 21:15:46","Dejavu Nightclub","Claire Hoover",0.0,91.29
130,4,18:11:29,"2016-06-08 18:11:29","Bottling CO","Claire Hoover",0.79,5.3
131,5,18:19:15,"2016-08-11 18:19:15","Bottling CO","Claire Hoover",0.0,53.52
132,6,16:49:18,"2017-02-10 16:49:18","Dejavu Nightclub","Claire Hoover",18.29,130.66
133,7,19:51:09,"2017-01-07 19:51:09","Bottling CO","Claire Hoover",10.42,80.16
134,7,20:36:18,"2016-12-24 20:36:18","Bottling CO","Claire Hoover",20.19,134.62
135,4,21:40:34,"2017-06-21 21:40:34","Dejavu Nightclub","Claire Hoover",6.85,114.14
136,3,11:06:15,"2017-06-20 11:06:15","Jrbc","Claire Hoover",0.0,45.84
137,6,14:55:22,"2017-02-03 14:55:22","Dejavu Nightclub","Claire Hoover",2.11,52.68
138,6,19:06:22,"2017-11-10 19:06:22","Bottling CO","Claire Hoover",3.1,22.11
139,2,22:37:15,"2017-01-09 22:37:15","Jrbc","Claire Hoover",3.58,32.54
140,5,21:11:48,"2017-05-18 21:11:48","Dejavu Nightclub","Claire Hoover",14.37,130.66
141,1,11:48:01,"2016-06-12 11:48:01","Rocket","German Nelson",15.44,118.78
142,1,19:09:07,"2017-07-16 19:09:07","J R's Last Laugh Comedy Club","German Nelson",1.57,15.68
143,1,12:46:23,"2017-12-03 12:46:23","J R's Last Laugh Comedy Club","German Nelson",0.34,34.13
144,6,23:27:22,"2017-11-10 23:27:22","J R's Last Laugh Comedy Club","German Nelson",8.25,63.43
145,3,12:38:54,"2016-09-13 12:38:54","Rocket","German Nelson",1.91,23.83
146,1,14:17:39,"2017-10-08 14:17:39","J R's Last Laugh Comedy Club","German Nelson",1.92,21.35
147,6,22:23:58,"2016-01-01 22:23:58","Milo's Sports Tavern","German Nelson",3.05,101.81
148,5,13:17:29,"2016-09-01 13:17:29","J R's Last Laugh Comedy Club","German Nelson",4.12,68.73
149,5,21:36:28,"2017-09-07 21:36:28","J R's Last Laugh Comedy Club","German Nelson",0.0,18.14
150,5,10:25:48,"2017-04-06 10:25:48","J R's Last Laugh Comedy Club","German Nelson",7.09,50.64
151,3,15:40:38,"2016-06-21 15:40:38","J R's Last Laugh Comedy Club","German Nelson",0.3,29.81
152,2,10:11:47,"2017-04-03 10:11:47","Rocket","German Nelson",0.0,75.93
153,6,10:25:06,"2017-01-20 10:25:06","Rocket","German Nelson",1.79,13.74
154,1,15:16:51,"2017-11-12 15:16:51","Milo's Sports Tavern","German Nelson",8.63,107.88
155,1,10:43:01,"2017-10-15 10:43:01","Rocket","German Nelson",0.0,46.31
156,7,16:33:27,"2016-03-26 16:33:27","Milo's Sports Tavern","German Nelson",2.22,24.71
157,1,00:50:56,"2016-04-10 00:50:56","J R's Last Laugh Comedy Club","German Nelson",0.44,44.49
158,2,08:07:22,"2016-07-04 08:07:22","Rocket","German Nelson",11.24,112.41
159,4,22:06:45,"2017-04-05 22:06:45","J R's Last Laugh Comedy Club","German Nelson",1.57,15.68
160,4,10:37:30,"2016-08-03 10:37:30","J R's Last Laugh Comedy Club","German Nelson",0.0,23.24
161,2,23:36:11,"2017-12-18 23:36:11","Boston Market","Kara Carrillo",2.78,46.33
162,4,23:33:28,"2017-10-18 23:33:28","Boston Market","Kara Carrillo",10.19,127.4
163,4,21:13:17,"2016-09-28 21:13:17","Sportsman","Kara Carrillo",11.96,119.55
164,4,12:31:34,"2016-12-07 12:31:34","Dave & Buster's","Kara Carrillo",14.05,93.67
165,5,14:44:28,"2017-01-12 14:44:28","Smitty's Sports Pub","Kara Carrillo",0.38,12.77
166,3,17:44:19,"2017-12-19 17:44:19","Ruby Tuesday","Kara Carrillo",9.63,87.55
167,3,19:34:21,"2016-11-08 19:34:21","Ruby Tuesday","Kara Carrillo",7.97,61.3
168,6,22:38:52,"2017-09-22 22:38:52","Boston Market","Kara Carrillo",7.02,53.99
169,3,18:40:32,"2017-03-28 18:40:32","Sportsman","Kara Carrillo",6.89,86.16
170,3,16:05:29,"2016-01-05 16:05:29","Dave & Buster's","Kara Carrillo",12.42,103.54
171,2,11:42:28,"2016-07-04 11:42:28","Smitty's Sports Pub","Kara Carrillo",2.01,20.14
172,3,21:55:45,"2016-01-12 21:55:45","Sportsman","Kara Carrillo",0.0,23.22
173,1,15:40:23,"2016-01-03 15:40:23","Smitty's Sports Pub","Kara Carrillo",7.34,56.46
174,4,15:25:43,"2017-03-15 15:25:43","Dave & Buster's","Kara Carrillo",9.81,122.58
175,3,20:53:28,"2017-10-17 20:53:28","Sportsman","Kara Carrillo",3.43,31.19
176,7,11:54:38,"2016-11-05 11:54:38","Smitty's Sports Pub","Kara Carrillo",2.16,54.04
177,5,11:32:31,"2016-10-20 11:32:31","Tryst Lounge","Kara Carrillo",1.3,32.53
178,1,20:40:48,"2017-08-06 20:40:48","Boston Market","Kara Carrillo",10.53,95.69
179,3,10:15:54,"2017-12-19 10:15:54","Smitty's Sports Pub","Kara Carrillo",0.0,46.94
180,5,20:19:04,"2017-11-30 20:19:04","Boston Market","Kara Carrillo",8.17,116.73
181,1,19:38:42,"2017-07-23 19:38:42","Modoggies Bar & Grill","Ezra Harvey",9.32,133.15
182,6,21:27:30,"2017-11-24 21:27:30","Modoggies Bar & Grill","Ezra Harvey",16.33,116.67
183,7,12:08:42,"2016-08-13 12:08:42","New Orleans Original Daiquiris","Ezra Harvey",3.81,63.45
184,2,17:12:38,"2016-10-17 17:12:38","Daddy's","Ezra Harvey",0.83,6.37
185,1,20:11:41,"2017-06-04 20:11:41","Modoggies Bar & Grill","Ezra Harvey",5.02,33.45
186,5,18:20:39,"2016-01-21 18:20:39","New Orleans Original Daiquiris","Ezra Harvey",1.61,53.76
187,2,19:42:22,"2016-03-21 19:42:22","Daddy's","Ezra Harvey",3.83,54.69
188,4,17:40:39,"2016-09-21 17:40:39","Daddy's","Ezra Harvey",2.8,25.49
189,1,09:41:07,"2016-05-01 09:41:07","New Orleans Original Daiquiris","Ezra Harvey",11.54,76.91
190,6,19:33:08,"2017-04-28 19:33:08","New Orleans Original Daiquiris","Ezra Harvey",7.41,49.37
191,7,21:48:34,"2016-12-31 21:48:34","New Orleans Original Daiquiris","Ezra Harvey",14.37,110.56
192,4,21:13:24,"2017-11-08 21:13:24","Modoggies Bar & Grill","Ezra Harvey",16.51,117.9
193,4,16:25:07,"2016-08-24 16:25:07","Daddy's","Ezra Harvey",1.36,13.57
194,7,00:09:20,"2016-06-04 00:09:20","New Orleans Original Daiquiris","Ezra Harvey",0.6,60.22
195,6,22:07:18,"2016-01-01 22:07:18","Modoggies Bar & Grill","Ezra Harvey",2.32,115.8
196,5,22:39:15,"2016-09-01 22:39:15","Daddy's","Ezra Harvey",0.31,7.71
197,2,21:19:14,"2017-04-10 21:19:14","Modoggies Bar & Grill","Ezra Harvey",8.24,117.77
198,2,15:19:43,"2016-10-10 15:19:43","Daddy's","Ezra Harvey",1.3,43.41
199,3,07:45:25,"2017-09-26 07:45:25","New Orleans Original Daiquiris","Ezra Harvey",0.0,43.82
200,1,15:11:34,"2016-10-23 15:11:34","New Orleans Original Daiquiris","Ezra Harvey",9.55,119.35
201,2,13:34:16,"2016-02-08 13:34:16","Red Robin","Bruno Lloyd",8.64,78.53
202,2,09:18:53,"2017-10-02 09:18:53","California Pizza Kitchen","Bruno Lloyd",11.17,101.53
203,5,19:16:14,"2016-11-10 19:16:14","Bahama Breeze","Bruno Lloyd",1.76,13.52
204,4,19:35:57,"2016-01-06 19:35:57","Red Robin","Bruno Lloyd",16.28,125.23
205,2,14:34:11,"2016-02-01 14:34:11","Bahama Breeze","Bruno Lloyd",3.7,61.63
206,1,16:44:14,"2017-08-27 16:44:14","Red Robin","Bruno Lloyd",0.47,4.23
207,4,12:11:56,"2016-08-03 12:11:56","Bahama Breeze","Bruno Lloyd",8.93,127.55
208,1,09:50:17,"2017-03-12 09:50:17","California Pizza Kitchen","Bruno Lloyd",0.99,7.04
209,4,17:09:27,"2017-02-15 17:09:27","Bahama Breeze","Bruno Lloyd",2.37,26.35
210,2,17:11:44,"2016-12-12 17:11:44","Red Robin","Bruno Lloyd",3.44,42.98
211,7,11:19:36,"2017-11-11 11:19:36","California Pizza Kitchen","Bruno Lloyd",20.17,134.47
212,3,16:51:07,"2016-01-12 16:51:07","California Pizza Kitchen","Bruno Lloyd",0.44,7.38
213,6,01:50:17,"2016-11-18 01:50:17","Bahama Breeze","Bruno Lloyd",0.64,31.78
214,1,18:39:33,"2016-02-14 18:39:33","Bahama Breeze","Bruno Lloyd",2.0,14.26
215,7,16:55:07,"2016-09-03 16:55:07","California Pizza Kitchen","Bruno Lloyd",5.21,104.23
216,7,17:52:54,"2017-07-08 17:52:54","California Pizza Kitchen","Bruno Lloyd",2.52,50.43
217,6,17:46:24,"2016-01-01 17:46:24","California Pizza Kitchen","Bruno Lloyd",5.38,134.47
218,4,23:14:45,"2016-06-08 23:14:45","California Pizza Kitchen","Bruno Lloyd",2.73,22.77
219,1,15:46:31,"2016-01-31 15:46:31","Red Robin","Bruno Lloyd",3.03,75.66
220,6,12:27:33,"2017-07-21 12:27:33","Bahama Breeze","Bruno Lloyd",4.43,36.94
221,6,13:42:08,"2016-09-02 13:42:08","Ruby Tuesday","Kenna Garza",0.75,37.36
222,7,15:52:29,"2017-09-23 15:52:29","Ruby Tuesday","Kenna Garza",0.48,15.88
223,2,14:05:44,"2016-12-05 14:05:44","Mulligan's Pub","Kenna Garza",0.56,7.99
224,1,18:49:45,"2017-01-01 18:49:45","Ruby Tuesday","Kenna Garza",1.51,75.32
225,7,14:44:18,"2017-10-21 14:44:18","Mulligan's Pub","Kenna Garza",7.02,63.84
226,5,20:34:48,"2017-02-16 20:34:48","Jekyll & Hydes","Kenna Garza",6.96,77.37
227,3,22:12:34,"2017-07-04 22:12:34","Romano's Macaroni Grill","Kenna Garza",2.08,41.52
228,2,23:26:29,"2017-04-17 23:26:29","Jekyll & Hydes","Kenna Garza",11.17,101.58
229,1,20:16:08,"2016-10-23 20:16:08","Romano's Macaroni Grill","Kenna Garza",2.73,45.58
230,1,14:18:52,"2017-01-01 14:18:52","Ruby Tuesday","Kenna Garza",1.68,83.9
231,4,21:28:11,"2016-03-09 21:28:11","Romano's Macaroni Grill","Kenna Garza",6.39,49.18
232,6,18:29:18,"2016-01-01 18:29:18","Ruby Tuesday","Kenna Garza",3.28,54.71
233,3,13:16:15,"2016-08-16 13:16:15","Ruby Tuesday","Kenna Garza",0.41,2.94
234,4,20:18:33,"2017-12-27 20:18:33","Jekyll & Hydes","Kenna Garza",4.79,31.96
235,6,23:51:22,"2017-08-18 23:51:22","Romano's Macaroni Grill","Kenna Garza",3.41,56.83
236,4,22:26:05,"2016-02-24 22:26:05","Romano's Macaroni Grill","Kenna Garza",2.22,17.07
237,2,17:22:48,"2016-07-11 17:22:48","Ruby Tuesday","Kenna Garza",0.74,18.52
238,3,00:26:13,"2016-02-23 00:26:13","Jekyll & Hydes","Kenna Garza",7.81,111.52
239,6,21:44:21,"2017-02-03 21:44:21","Jekyll & Hydes","Kenna Garza",1.07,21.3
240,7,19:20:39,"2016-05-14 19:20:39","Romano's Macaroni Grill","Kenna Garza",7.28,60.69
241,3,18:28:21,"2017-06-27 18:28:21","T.G.I. Friday's","Scarlet Villarreal",1.47,73.3
242,2,02:30:49,"2017-03-27 02:30:49","T.G.I. Friday's","Scarlet Villarreal",1.4,28.09
243,1,21:38:52,"2017-10-01 21:38:52","T.G.I. Friday's","Scarlet Villarreal",2.25,56.23
244,1,16:35:59,"2016-12-11 16:35:59","The Cheesecake Factory","Scarlet Villarreal",11.26,125.1
245,5,21:53:18,"2016-05-19 21:53:18","T.G.I. Friday's","Scarlet Villarreal",6.26,48.12
246,2,08:34:33,"2017-12-25 08:34:33","New York Dolls","Scarlet Villarreal",2.63,20.22
247,3,17:06:02,"2017-07-04 17:06:02","The Cheesecake Factory","Scarlet Villarreal",5.04,63.04
248,6,14:36:42,"2016-01-01 14:36:42","The Cheesecake Factory","Scarlet Villarreal",7.32,104.64
249,4,17:33:51,"2016-03-16 17:33:51","T.G.I. Friday's","Scarlet Villarreal",2.82,25.67
250,5,10:29:22,"2017-10-19 10:29:22","New York Dolls","Scarlet Villarreal",4.44,88.86
251,1,02:10:21,"2016-08-07 02:10:21","T.G.I. Friday's","Scarlet Villarreal",3.51,38.97
252,3,09:50:31,"2016-09-06 09:50:31","New York Dolls","Scarlet Villarreal",12.83,98.7
253,4,15:35:30,"2016-02-17 15:35:30","The Cheesecake Factory","Scarlet Villarreal",0.44,44.36
254,4,10:24:38,"2017-01-11 10:24:38","New York Dolls","Scarlet Villarreal",15.23,138.47
255,4,18:48:34,"2017-06-07 18:48:34","T.G.I. Friday's","Scarlet Villarreal",2.42,48.31
256,2,23:53:16,"2016-07-04 23:53:16","T.G.I. Friday's","Scarlet Villarreal",1.25,9.58
257,1,22:33:52,"2017-07-30 22:33:52","T.G.I. Friday's","Scarlet Villarreal",7.41,92.61
258,6,11:27:01,"2017-03-10 11:27:01","New York Dolls","Scarlet Villarreal",3.11,155.63
259,3,15:10:32,"2016-12-27 15:10:32","The Cheesecake Factory","Scarlet Villarreal",3.82,127.24
260,5,13:55:57,"2016-08-18 13:55:57","The Cheesecake Factory","Scarlet Villarreal",3.01,100.32
261,7,09:50:02,"2016-07-02 09:50:02","Hilltop Tavern","Baylee Lawrence",4.61,46.07
262,4,21:16:10,"2017-03-22 21:16:10","Jekyll & Hydes","Baylee Lawrence",15.61,111.52
263,2,10:27:13,"2016-09-26 10:27:13","Hilltop Tavern","Baylee Lawrence",7.55,94.32
264,7,19:21:15,"2017-04-15 19:21:15","Shanahan's Lafayette","Baylee Lawrence",3.85,38.48
265,3,20:47:40,"2017-12-05 20:47:40","Jekyll & Hydes","Baylee Lawrence",8.28,103.54
266,2,23:47:23,"2016-07-04 23:47:23","T.G.I. Friday's","Baylee Lawrence",1.28,16.0
267,4,20:41:44,"2017-09-20 20:41:44","Jekyll & Hydes","Baylee Lawrence",12.05,109.55
268,5,09:09:55,"2016-03-03 09:09:55","Hilltop Tavern","Baylee Lawrence",1.61,80.46
269,4,23:38:31,"2017-05-10 23:38:31","Jekyll & Hydes","Baylee Lawrence",0.51,6.37
270,2,01:50:15,"2017-06-19 01:50:15","T.G.I. Friday's","Baylee Lawrence",2.08,69.5
271,3,10:05:30,"2016-06-07 10:05:30","Shanahan's Lafayette","Baylee Lawrence",11.4,76.0
272,1,06:17:47,"2017-03-26 06:17:47","Hilltop Tavern","Baylee Lawrence",13.2,94.32
273,2,12:49:16,"2017-11-27 12:49:16","Shanahan's Lafayette","Baylee Lawrence",7.33,122.17
274,2,21:45:18,"2017-05-22 21:45:18","Red Barn","Baylee Lawrence",5.39,67.39
275,1,10:21:07,"2017-09-17 10:21:07","Hilltop Tavern","Baylee Lawrence",1.44,13.12
