drinker,item
"Renee Francis","Clean Shave IPA"
"Renee Francis","Orange Grove Wheat Ale"
"Renee Francis","Peach-Mango Smoothie"
"Renee Francis","Saddle Bronc Brown Ale"
"Renee Francis","Mixed Berry Sparkling Water"
"Renee Francis","Terrace Hill Double IPA"
"Renee Francis","Ginja Ninja"
"Azul Fox","Jalapeno Pale Ale"
"Azul Fox","Gyptoberfest"
"Azul Fox","Moose Drool Brown Ale"
"Azul Fox","Greek Salad"
"Azul Fox","Cajun Chicken 'Littles'"
"Azul Fox","Noche Dulce"
"Damian Hayes","Beasts A'Burnin'"
"Damian Hayes","Star Runner"
"Damian Hayes","Lasagna Fritta"
"Damian Hayes","Chugach Session Ale"
"Damian Hayes","Shepherd's Pie"
"Damian Hayes","Devils Tramping Ground Tripel"
"Damian Hayes","Noche Dulce"
"Nikhil Middleton","California Cheesesteak"
"Nikhil Middleton","East India Pale Ale"
"Nikhil Middleton","ToGo Our Famous House Salad"
"Nikhil Middleton","Pumpkin Beast"
"Elliana James","Buffalo Blasts"
"Elliana James","Chicken Fingers, and Pasta"
"Elliana James","Greenbelt Farmhouse Ale"
"Elliana James","Kilt Dropper Scotch Ale"
"Elliana James","Spicy Calabrian Chicken"
"Elliana James","El Hefe Speaks"
"Elliana James","Miso Salmon"
"Adam Montes","312 Urban Wheat Ale"
"Adam Montes","Five Italian Cheese Fonduta"
"Kenyon Conway","Santa's Secret"
"Kenyon Conway","Polar Pale Ale"
"Kenyon Conway","Thai Lettuce Wraps"
"Kenyon Conway","Sundae"
"Kenyon Conway","Braised Beef Bolognese"
"Axel Bell","Stone's Throw IPA"
"Axel Bell","Crispy Cuban Rolls"
"Axel Bell","Little Sister India Style Session Ale"
"Axel Bell","Vanilla Java Porter"
"Axel Bell","Loaded Pasta Chips"
"Axel Bell","Veggie Burger"
"Davis Singh","312 Urban Wheat Ale"
"Amya Dalton","Barney Flats Oatmeal Stout"
"Amya Dalton","Rye Pils Session Lager"
"Amya Dalton","Jamaican Black Pepper chicken and Shrimp"
"Amya Dalton","Rod Bender Red"
"Amya Dalton","Chicken Salad Sandwich"
"Amya Dalton","312 Urban Pale Ale"
"Amya Dalton","Quesadilla"
"Jaidyn Lindsey","Portabella, Avocado, and Zucchini Fries"
"Jaidyn Lindsey","Raspberry Lemonade"
"Jaidyn Lindsey","Chicken Bellagio"
"Jaidyn Lindsey","Gossamer Golden Ale"
"Jaidyn Lindsey","White Chicken Chili"
"Ana Randolph","Hardcore Chimera"
"Ana Randolph","Mirror Pond Pale Ale"
"Tristin Cox","Fried Macaroni and Cheese"
"Tristin Cox","Chicken Parmesan Sandwich"
"Tristin Cox","Warm Crab and Artichoke Dip"
"Tomas Drake","Fort Pitt Ale"
"Tomas Drake","Caramel Hazelnut Macchiato"
"Tomas Drake","Macaroni and Cheese Burger"
"Tomas Drake","Herbal, and Flavored Hot Teas"
"Tomas Drake","Solitude"
"Tomas Drake","Sex and Candy"
"Tomas Drake","Perzik Saison"
"Xavier Roth","Family-Style Lasagna Bundle"
"Xavier Roth","Core Oatmeal Stout"
"Xavier Roth","Saddle Bronc Brown Ale"
"Xavier Roth","Dry Dock Amber Ale"
"Xavier Roth","Fish Tacos"
"Denise Hunter","Endive Salad"
"Denise Hunter","Fried Calamari"
"Denise Hunter","Dubbelicious"
"Denise Hunter","Smores Layer Cake"
"Denise Hunter","Suncaster Summer Wheat"
"Denise Hunter","Steak Diane"
"Denise Hunter","Vanilla Java Porter"
"Denise Hunter","Chicken Madeira"
"Denise Hunter","Southern Fried Chicken Sliders"
"Denise Hunter","Chocolate Chunkin Pumpkin Cheesecake"
"Denise Hunter","543 Skull Creek Fresh Hopped Pale Ale"
"Mina Shaw","Copperhead Amber"
"Mina Shaw","Beaver Logger"
"Mina Shaw","Cone Crusher"
"Mina Shaw","Lucky Buck"
"Mina Shaw","Bang-Bang Chicken and Shrimp"
"Mina Shaw","Wandering Pelican"
"Mina Shaw","Famous Factory Meatloaf"
"Jazlene Cisneros","Bring Back the Beach Blonde Ale"
"Jazlene Cisneros","Chicken Parmigiana"
"Jazlene Cisneros","Hop Stalker Fresh Hop IPA"
"Bobby Brady","Macaroni and Cheese Burger"
"Bobby Brady","Easy Livin' Summer Ale"
"Bobby Brady","Greek Salad"
"Bobby Brady","Wandering Pelican"
"Bobby Brady","Perzik Saison"
"Lindsey Gallagher","Spicy Calabrian Chicken"
"Lindsey Gallagher","Mushroom Burger"
"Lindsey Gallagher","Gutch English Style Mild Ale"
"Lindsey Gallagher","Loaded Backed Potato Tots"
"Eduardo Glover","Frozen Cappuccino"
"Eduardo Glover","Raspberry Lemonade"
"Eduardo Glover","Naked Pig Pale Ale"
"Eduardo Glover","Black Exodus"
"Eduardo Glover","Spicy Calabrian Chicken"
"Eduardo Glover","Mountain Livin' Pale Ale"
"Eduardo Glover","Oak Cliff Coffee Ale"
"Kate Kennedy","Lavazza Espresso"
"Kate Kennedy","Crispy Cuban Rolls"
"Kate Kennedy","Greek Salad"
"Kate Kennedy","Category 3 IPA"
"Kate Kennedy","Eggroll Sampler"
"Kate Kennedy","Sex and Candy"
"Marcos Wallace","Quesadilla with Chicken"
"Marcos Wallace","Fried Zucchini"
"Marcos Wallace","Hopkick Dropkick"
"Precious Meadows","Four String Vanilla Porter"
"Precious Meadows","El Hefe Speaks"
"Precious Meadows","MCA"
"Yamilet Murphy","Coq D'Or"
"Yamilet Murphy","Big Star White IPA"
"Yamilet Murphy","Factory Burrito Grande"
"Yamilet Murphy","Cut Throat Pale Ale"
"Yamilet Murphy","Dry Dock Amber Ale"
"Yamilet Murphy","Boy King"
"Yamilet Murphy","Four String Vanilla Porter"
"Sanai Obrien","Toasted Lager"
"Sanai Obrien","Stuffed Chicken Tortillas"
"Sanai Obrien","Twisted Helles Summer Lager"
"Sanai Obrien","Chicken Piccata"
"Sanai Obrien","Caramel Hazelnut Macchiato"
"Sanai Obrien","Chicken Bellagio"
"Sanai Obrien","Classic Shrimp Scampi Fritta"
"Sanai Obrien","Pilot Rock Porter"
"Meadow Monroe","Bang-Bang Chicken and Shrimp"
"Meadow Monroe","Crispy Chicken Costoletta"
"Meadow Monroe","Quesadilla with Chicken"
"Meadow Monroe","Watermelon Ale"
"Meadow Monroe","Fish & Chips"
"Gloria Brooks","Lasagna Classico"
"Gloria Brooks","Caffè Latte"
"Ashly Turner","Sky High Rye"
"Ashly Turner","Teriyaki Chicken"
"Ashly Turner","Tender Loving Empire NWPA"
"Ashly Turner","Crispy Shrimp Sandwich"
"Ashly Turner","Acqua Panna Spring"
"Jadyn Lin","Steak Diane"
"Jadyn Lin","Chicken Giardino"
"Jadyn Lin","Tart Side of the Moon"
"Jadyn Lin","Cheese Ravioli"
"Jadyn Lin","Quesadilla"
"Dayanara Mills","Chicken Marsala and Mushrooms"
"Dayanara Mills","Thai Glazed Salmon"
"Ashton Olson","Fried Shrimp Platter"
"Ashton Olson","Oak Cliff Coffee Ale"
"Ashton Olson","Mirror Pond Pale Ale"
"Brooks Hull","HopArt"
"Brooks Hull","Green Collar"
"Brooks Hull","Teriyaki Chicken"
"Brooks Hull","Smores Layer Cake"
"Arnav Simmons","Dubbelicious"
"Arnav Simmons","Chicken Margherita"
"Arnav Simmons","Greek Salad"
"Arnav Simmons","Great Crescent IPA"
"Arnav Simmons","Shrimp Carbonara"
"Arnav Simmons","London Balling"
"Mireya Arroyo","Chicken Parmesan Sandwich"
"Mireya Arroyo","Stone's Throw IPA"
"Mireya Arroyo","Farmer Ted's Farmhouse Cream Ale"
"Mireya Arroyo","Hardcore Chimera"
"Mireya Arroyo","Moose Drool Brown Ale"
"Mireya Arroyo","Devils Tramping Ground Tripel"
"Ellie Ortega","Steak Gorgonzola-Alfredo"
"Ellie Ortega","Eggroll Sampler"
"Ellie Ortega","Morning Wood"
"Noemi Dickerson","Fettuccine Alfredo"
"Noemi Dickerson","Veggie Melt"
"Kolton Hess","Beaver Logger"
"Kolton Hess","Powder Hound Winter Ale"
"Kolton Hess","Spicy Cashew Chicken"
"Kolton Hess","Sundae"
"Kolton Hess","Terrace Hill Double IPA"
"Kolton Hess","Single Engine Red"
"Mohammad Kaiser","Barney Flats Oatmeal Stout"
"Mohammad Kaiser","East India Pale Ale"
"Mohammad Kaiser","Factory Burrito Grande"
"Mohammad Kaiser","Easy Livin' Summer Ale"
"Mohammad Kaiser","Maduro Brown Ale"
"Mohammad Kaiser","Lasagna Classico"
"Mohammad Kaiser","Warm Crab and Artichoke Dip"
"Drew Walter","Brotherhood Steam"
"Drew Walter","London Balling"
"Alfonso Foley","Barney Flats Oatmeal Stout"
"Alfonso Foley","077XX"
"Kendra Gillespie","Farmer Ted's Farmhouse Cream Ale"
"Kendra Gillespie","Arkansas Red"
"Kendra Gillespie","Citra Ass Down"
"Kendra Gillespie","Samuel Adams Summer Ale"
"Kendra Gillespie","Chargrilled Coulotte Steak"
"Aliyah Pace","Family-Style Lasagna Bundle"
"Aliyah Pace","Toasted Lager"
"Aliyah Pace","Zeppoli"
"Aliyah Pace","Raspberry Lemonade"
"Aliyah Pace","ToGo Homemade Soups"
"Aliyah Pace","Greek Salad"
"Lauren Rogers","Smokehouse BBQ Burger"
"Lauren Rogers","Fort Pitt Ale"
"Lauren Rogers","Seafood Alfredo"
"Lauren Rogers","Vanilla Java Porter"
"Lauren Rogers","Miso Salmon"
"Vivian Hodge","Fried Mozzarella"
"Vivian Hodge","Dynamite Shrimp"
"Vivian Hodge","Fall Hornin'"
"Carissa Mejia","Orange Chicken"
"Michaela Mcbride","Gyptoberfest"
"Michaela Mcbride","Whitsun"
"Michaela Mcbride","Fresh Basil, Tomato, and Cheese Flatbread"
"Michaela Mcbride","Steak Gorgonzola-Alfredo"
"Michaela Mcbride","Insert Hop Reference"
"Aryanna Fitzpatrick","Wrath of Pele"
"Aryanna Fitzpatrick","Kiwi-Melon Limonata"
"Aryanna Fitzpatrick","Chicken Bellagio"
"Aryanna Fitzpatrick","Chicken Alfredo"
"Aryanna Fitzpatrick","Category 3 IPA"
"Zackery Velazquez","Family-Style Lasagna Bundle"
"Zackery Velazquez","Dubbelicious"
"Zackery Velazquez","Stone's Throw IPA"
"Zackery Velazquez","Veggie Melt"
"Zackery Velazquez","Lasagna Fritta"
"Zackery Velazquez","Oak Cliff Coffee Ale"
"Gaige Campos","Strawberry-Passion Fruit Limonata"
"Gaige Campos","Underachiever"
"Gaige Campos","Rod Bender Red"
"Gary Jordan","Gutch English Style Mild Ale"
"Gary Jordan","Parmesan-Herb Crusted Chicken"
"Gary Jordan","Kiwi-Melon Limonata"
"Gary Jordan","East India Pale Ale"
"Gary Jordan","Chicken Margherita"
"Gary Jordan","Akari Shogun American Wheat Ale"
"Gary Jordan","ToGo Fountain Drinks"
"Gary Jordan","Ginja Ninja"
"Gary Jordan","Underdog Atlantic Lager"
"Gary Jordan","Fried Shrimp Platter"
"Christian Willis","Awry Rye Pale Ale"
"Christian Willis","Thrasher Session India Pale Ale"
"Christian Willis","Old Fashioned Burger"
"Christian Willis","Sausage and Ricotta Flatbread"
"Christian Willis","Wandering Pelican"
"Christian Willis","Famous Factory Meatloaf"
